xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.73679,1.3377093
103.7376,1.3377093
103.7376,1.3385205
103.73679,1.3385205
103.73679,1.3377093
103.7376,1.3377093
103.73841,1.3377093
103.73841,1.3385205
103.7376,1.3385205
103.7376,1.3377093
103.73679,1.3385205
103.7376,1.3385205
103.7376,1.3393317
103.73679,1.3393317
103.73679,1.3385205
103.7376,1.3385205
103.73841,1.3385205
103.73841,1.3393317
103.7376,1.3393317
103.7376,1.3385205
103.74369,1.3286645
103.7445,1.3286645
103.7445,1.3294756
103.74369,1.3294756
103.74369,1.3286645
103.7445,1.3286645
103.74531,1.3286645
103.74531,1.3294756
103.7445,1.3294756
103.7445,1.3286645
103.74369,1.3294756
103.7445,1.3294756
103.7445,1.3302869
103.74369,1.3302869
103.74369,1.3294756
103.7445,1.3294756
103.74531,1.3294756
103.74531,1.3302869
103.7445,1.3302869
103.7445,1.3294756
