xcorn,ycorn
1.3367137,103.69918
1.3333,103.69918
1.3333,103.69999
1.3367137,103.69999
1.3367137,103.69918
1.3333,103.69918
1.3298863,103.69918
1.3298863,103.69999
1.3333,103.69999
1.3333,103.69918
1.3367137,103.69999
1.3333,103.69999
1.3333,103.700806
1.3367137,103.700806
1.3367137,103.69999
1.3333,103.69999
1.3298863,103.69999
1.3298863,103.700806
1.3333,103.700806
1.3333,103.69999
103.74276,1.3347843
103.74357,1.3347843
103.74357,1.3355955
103.74276,1.3355955
103.74276,1.3347843
103.74357,1.3347843
103.74438,1.3347843
103.74438,1.3355955
103.74357,1.3355955
103.74357,1.3347843
103.74276,1.3355955
103.74357,1.3355955
103.74357,1.3364066
103.74276,1.3364066
103.74276,1.3355955
103.74357,1.3355955
103.74438,1.3355955
103.74438,1.3364066
103.74357,1.3364066
103.74357,1.3355955
103.74204,1.3289723
103.74285,1.3289723
103.74285,1.3297836
103.74204,1.3297836
103.74204,1.3289723
103.74285,1.3289723
103.74366,1.3289723
103.74366,1.3297836
103.74285,1.3297836
103.74285,1.3289723
103.74204,1.3297836
103.74285,1.3297836
103.74285,1.3305948
103.74204,1.3305948
103.74204,1.3297836
103.74285,1.3297836
103.74366,1.3297836
103.74366,1.3305948
103.74285,1.3305948
103.74285,1.3297836
103.73272,1.3278947
103.73353,1.3278947
103.73353,1.3287059
103.73272,1.3287059
103.73272,1.3278947
103.73353,1.3278947
103.73434,1.3278947
103.73434,1.3287059
103.73353,1.3287059
103.73353,1.3278947
103.73272,1.3287059
103.73353,1.3287059
103.73353,1.3295171
103.73272,1.3295171
103.73272,1.3287059
103.73353,1.3287059
103.73434,1.3287059
103.73434,1.3295171
103.73353,1.3295171
103.73353,1.3287059
103.73795,1.3342068
103.73876,1.3342068
103.73876,1.335018
103.73795,1.335018
103.73795,1.3342068
103.73876,1.3342068
103.73957,1.3342068
103.73957,1.335018
103.73876,1.335018
103.73876,1.3342068
103.73795,1.335018
103.73876,1.335018
103.73876,1.3358293
103.73795,1.3358293
103.73795,1.335018
103.73876,1.335018
103.73957,1.335018
103.73957,1.3358293
103.73876,1.3358293
103.73876,1.335018
103.73755,1.3338013
103.73836,1.3338013
103.73836,1.3346124
103.73755,1.3346124
103.73755,1.3338013
103.73836,1.3338013
103.73917,1.3338013
103.73917,1.3346124
103.73836,1.3346124
103.73836,1.3338013
103.73917,1.3338013
103.739975,1.3338013
103.739975,1.3346124
103.73917,1.3346124
103.73917,1.3338013
103.73755,1.3346124
103.73836,1.3346124
103.73836,1.3354236
103.73755,1.3354236
103.73755,1.3346124
103.73836,1.3346124
103.73917,1.3346124
103.73917,1.3354236
103.73836,1.3354236
103.73836,1.3346124
103.73917,1.3346124
103.739975,1.3346124
103.739975,1.3354236
103.73917,1.3354236
103.73917,1.3346124
103.73755,1.3354236
103.73836,1.3354236
103.73836,1.3362348
103.73755,1.3362348
103.73755,1.3354236
103.73836,1.3354236
103.73917,1.3354236
103.73917,1.3362348
103.73836,1.3362348
103.73836,1.3354236
103.73917,1.3354236
103.739975,1.3354236
103.739975,1.3362348
103.73917,1.3362348
103.73917,1.3354236
103.737144,1.3333956
103.73795,1.3333956
103.73795,1.3342068
103.737144,1.3342068
103.737144,1.3333956
103.73795,1.3333956
103.73876,1.3333956
103.73876,1.3342068
103.73795,1.3342068
103.73795,1.3333956
103.73876,1.3333956
103.73957,1.3333956
103.73957,1.3342068
103.73876,1.3342068
103.73876,1.3333956
103.73957,1.3333956
103.74038,1.3333956
103.74038,1.3342068
103.73957,1.3342068
103.73957,1.3333956
103.737144,1.3342068
103.73795,1.3342068
103.73795,1.335018
103.737144,1.335018
103.737144,1.3342068
103.73795,1.3342068
103.73876,1.3342068
103.73876,1.335018
103.73795,1.335018
103.73795,1.3342068
103.73876,1.3342068
103.73957,1.3342068
103.73957,1.335018
103.73876,1.335018
103.73876,1.3342068
103.73957,1.3342068
103.74038,1.3342068
103.74038,1.335018
103.73957,1.335018
103.73957,1.3342068
103.737144,1.335018
103.73795,1.335018
103.73795,1.3358293
103.737144,1.3358293
103.737144,1.335018
103.73795,1.335018
103.73876,1.335018
103.73876,1.3358293
103.73795,1.3358293
103.73795,1.335018
103.73876,1.335018
103.73957,1.335018
103.73957,1.3358293
103.73876,1.3358293
103.73876,1.335018
103.73957,1.335018
103.74038,1.335018
103.74038,1.3358293
103.73957,1.3358293
103.73957,1.335018
103.737144,1.3358293
103.73795,1.3358293
103.73795,1.3366405
103.737144,1.3366405
103.737144,1.3358293
103.73795,1.3358293
103.73876,1.3358293
103.73876,1.3366405
103.73795,1.3366405
103.73795,1.3358293
103.73876,1.3358293
103.73957,1.3358293
103.73957,1.3366405
103.73876,1.3366405
103.73876,1.3358293
103.73957,1.3358293
103.74038,1.3358293
103.74038,1.3366405
103.73957,1.3366405
103.73957,1.3358293
